Conservation Unit,Biological Status,Run timing,Trend in spawner abundance (all available data),Trend in spawner abundance (last 3 generations)
Middle Skeena – Mainstem Tributaries,Good,July-September,575%,-63%
Upper Bulkley River,Data Deficient,Data Deficient,Data Deficient,Data Deficient
